m0:1uM_M0:0_L0:10000 X	m0:1uM_M0:0_L0:10000 Y
601.1787819	0.016660496
1449.901768	0.016660496
2298.624754	0.016660496
3430.255403	0.016660496
4561.886051	0.016660496
5339.882122	-0.027767493
6117.878193	-0.072195483
6825.147348	-0.049981488
7532.416503	-0.027767493
8416.502947	-0.005553499
9300.589391	0.016660496
9901.768173	0.083302481
10502.94695	0.149944465
11210.21611	0.21658645
11917.48527	0.283228434
12624.75442	0.394298408
13332.02358	0.505368382
14145.3831	0.594224362
14958.74263	0.683080341
15807.46562	0.749722325
16656.18861	0.816364309
17469.54813	0.860792299
18282.90766	0.905220289
19273.08448	0.927434283
20263.2613	0.949648279
20970.53045	0.994076268
21677.79961	1.038504258
22455.79568	1.016290263
23233.79175	0.994076268
24153.24165	0.994076268
25072.69155	0.994076268
26062.86837	1.016290263
27053.04519	1.038504258
27972.49509	1.038504258
28891.94499	1.038504258
29776.03143	1.016290263
30660.11788	0.994076268
31579.56778	0.971862273
32499.01768	0.949648279
33666.01179	0.949648279
34833.00589	0.949648279
