X	Pilkington2017_Fig1A.txt: 50 uM
338.4716733	2.79787132628e-05
841.525931246	0.000173152293365
1344.58018919	0.00044347172704
1847.63444714	0.000841792178193
2350.68870509	0.00137250676213
2853.74296303	0.00204157408277
3356.79722098	0.00285655976236
3859.85147893	0.00382669092947
4362.90573687	0.00496292248996
4865.95999482	0.00627801378529
5369.01425276	0.00778661393018
5872.06851071	0.00950535370761
6375.12276866	0.0114529413696
6878.1770266	0.0136502590361
7381.23128455	0.0161204555916
7884.2855425	0.0188890310434
8387.33980044	0.0219839062265
8890.39405839	0.0254354705307
9393.44831634	0.0292765990052
9896.50257428	0.0335426288146
10399.5568322	0.0382712836373
10902.6110902	0.0435025333284
11405.6653481	0.0492783751247
11908.7196061	0.055642522057
12411.773864	0.0626399842427
12914.828122	0.0703165296304
13417.8823799	0.0787180128304
13920.9366379	0.0878895641581
14423.9908958	0.0978746361994
14927.0451537	0.108713912223
15430.0994117	0.120444089639
15933.1536696	0.133096562246
16436.2079276	0.146696036775
16939.2621855	0.161259131452
17442.3164435	0.176793015869
17945.3707014	0.193294161129
18448.4249594	0.210747275312
18951.4792173	0.229124500615
19454.5334753	0.248384943557
19957.5877332	0.268474597951
20460.6419912	0.28932670194
20963.6962491	0.310862546185
21466.7505071	0.332992722357
21969.804765	0.355618771773
22472.8590229	0.37863516664
22975.9132809	0.401931533646
23478.9675388	0.425395014241
23982.0217968	0.44891264934
24485.0760547	0.472373678845
24988.1303127	0.495671657611
25491.1845706	0.518706307516
25994.2388286	0.541385047849
26497.2930865	0.563624170577
27000.3473445	0.585349650818
27503.4016024	0.606497603899
28006.4558604	0.627014417417
28509.5101183	0.646856598924
29012.5643762	0.665990387263
29515.6186342	0.684391178504
30018.6728921	0.702042816672
30521.7271501	0.718936795895
31024.781408	0.735071415157
31527.835666	0.750450920379
32030.8899239	0.765084661736
32533.9441819	0.77898628748
33036.9984398	0.792172989531
33540.0526978	0.804664810751
34043.1069557	0.816484019447
34546.1612137	0.827654553084
35049.2154716	0.838201530485
35552.2697296	0.848150829798
36055.3239875	0.857528728165
36558.3782454	0.866361598148
37061.4325034	0.874675655559
37564.4867613	0.882496753164
38067.5410193	0.889850214852
38570.5952772	0.896760705075
39073.6495352	0.903252128731
39576.7037931	0.909347557062
40079.7580511	0.915069175567
40582.812309	0.920438250371
41085.866567	0.925475109905
41588.9208249	0.930199139171
42091.9750829	0.93462878421
42595.0293408	0.938781564744
43098.0835987	0.942674093255
43601.1378567	0.946322099035
44104.1921146	0.949740455982
44607.2463726	0.952943213094
45110.3006305	0.955943626829
45613.3548885	0.958754194625
46116.4091464	0.961386688994
46619.4634044	0.963852191755
47122.5176623	0.966161128011
47625.5719203	0.968323299605
48128.6261782	0.970347917803
48631.6804362	0.972243635061
49134.7346941	0.974018575727
49637.7889521	0.975680365608
50140.84321	0.977236160325
