Sanchez2016_CE.txt: CE X	Sanchez2016_CE.txt: CE Y
7670.185005	-6.04944315672e-17
10069.25024	0.0101867572027
11988.78286	0.0152801358041
13907.38072	0.0305602716082
15825.97858	0.0458404074559
19182.23953	0.0865874363105
22540.37001	0.106960950716
25897.09834	0.142614600969
29733.82668	0.178268251222
31645.41383	0.269949066178
33570.08763	0.219015280077
35004.47907	0.280135823381
37882.14216	0.305602716431
41718.40312	0.346349745286
49873.72931	0.397283531343
53709.52288	0.443123938712
56105.31646	0.488964346124
62341.11003	0.534804753536
67615.96884	0.590831918587
73852.69718	0.626485568797
75284.28432	0.718166383622
78649.42551	0.662139219006
83927.08861	0.687606112013
89206.15385	0.697792869216
92559.14314	0.774193548237
97837.74099	0.789473684041
103592.5998	0.845500848656
111751.1977	0.86078098446
117508.8608	0.886247877467
123268.3934	0.891341256068
131428.3934	0.891341256068
136226.5239	0.911714770474
145821.3827	0.967741935525
155419.9805	0.983022071329
163099.9805	0.983022071329
174138.5784	0.998302207133
184219.9805	0.983022071329
195738.5784	0.998302207133
205819.0458	0.993208828532
215418.5784	0.998302207133
228858.5784	0.998302207133
241338.111	1.00339558573
