X	Kim2013_Fig4C_hnrnpa1.txt: hnrnpa1 5uM
69.563	0.0014906689352
134.229030303	0.00560128192878
198.895060606	0.0125486949053
263.561090909	0.02270659907
328.227121212	0.0365956337208
392.893151515	0.0548537339295
457.559181818	0.0781835495521
522.225212121	0.107267365427
586.891242424	0.142645839982
651.557272727	0.184569817162
716.22330303	0.232853285435
780.889333333	0.286772710414
845.555363636	0.345060339332
910.221393939	0.406016409044
974.887424242	0.467722242753
1039.55345455	0.52829542533
1104.21948485	0.586114528434
1168.88551515	0.639960914405
1233.55154545	0.689063094721
1298.21757576	0.733061976051
1362.88360606	0.771930255578
1427.54963636	0.805877449401
1492.21566667	0.835261840909
1556.88169697	0.860519631232
1621.54772727	0.882113570916
1686.21375758	0.900498965652
1750.87978788	0.916103289146
1815.54581818	0.929315551596
1880.21184848	0.940482184888
1944.87787879	0.949906997719
2009.54390909	0.957853479714
2074.20993939	0.964548308908
2138.8759697	0.970185336589
2203.542	0.974929612774
2268.2080303	0.978921206864
2332.87406061	0.982278699795
2397.54009091	0.985102298779
2462.20612121	0.987476569668
2526.87215152	0.989472806215
2591.53818182	0.99115106755
2656.20421212	0.992561919876
2720.87024242	0.993747918845
2785.53627273	0.994744867178
2850.20230303	0.995582879068
2914.86833333	0.996287279481
2979.53436364	0.996879362957
3044.20039394	0.997377033254
3108.86642424	0.997795342128
3173.53245455	0.998146942942
3238.19848485	0.998442472376
3302.86451515	0.998690871561
3367.53054545	0.998899656185
3432.19657576	0.999075143628
3496.86260606	0.99922264395
3561.52863636	0.999346620469
3626.19466667	0.99945082475
3690.86069697	0.999538410093
3755.52672727	0.999612026922
3820.19275758	0.99967390298
3884.85878788	0.99972591073
3949.52481818	0.999769624012
4014.19084848	0.999806365664
4078.85687879	0.999837247558
4143.52290909	0.999863204237
4208.18893939	0.999885021201
4272.8549697	0.999903358672
4337.521	0.999918771581
4402.1870303	0.999931726352
4466.85306061	0.999942615022
4531.51909091	0.999951767106
4596.18512121	0.999959459563
4660.85115152	0.999965925183
4725.51718182	0.99997135963
4790.18321212	0.999975927359
4854.84924242	0.999979766602
4919.51527273	0.99998299354
4984.18130303	0.999985705827
5048.84733333	0.999987985543
5113.51336364	0.999989901678
5178.17939394	0.999991512216
5242.84542424	0.999992865896
5307.51145455	0.999994003684
5372.17748485	0.999994960011
5436.84351515	0.999995763817
5501.50954545	0.999996439428
5566.17557576	0.999997007288
5630.84160606	0.999997484583
5695.50763636	0.999997885756
5760.17366667	0.999998222948
5824.83969697	0.999998506362
5889.50572727	0.999998744576
5954.17175758	0.999998944798
6018.83778788	0.999999113088
6083.50381818	0.999999254538
6148.16984848	0.999999373428
6212.83587879	0.999999473357
6277.50190909	0.999999557349
6342.16793939	0.999999627946
6406.8339697	0.999999687283
6471.5	0.999999737157
