Hasecke2018_Fig2C_450mMNaCl_7uM.txt: 7 uM X	Hasecke2018_Fig2C_450mMNaCl_7uM.txt: 7 uM Y
4620.320856	3.75374787148e-07
15529.41176	4.43363225622e-06
29647.05882	-0.0224535634404
46973.26203	-0.0224124919119
58524.06417	-0.0111206101585
78417.1123	0.000331314457241
92534.75936	0.000679650256031
104727.2727	-0.00998347371059
122695.1872	-0.00817882175236
132320.8556	-0.0175559684335
141304.8128	-0.0260644700004
150930.4813	-0.0214765485783
159272.7273	-0.00414676831513
167614.9733	-0.00637056071416
174673.7968	-0.00677724190157
180449.1979	0.00498622211864
188149.7326	0.0259146172088
197775.4011	0.0179322854805
205475.9358	0.0131592289172
214459.893	0.0172255867672
222802.139	-0.004127911757
229860.9626	-0.028317500668
240770.0535	-0.0204003831254
247187.1658	-0.0234468553591
258737.9679	0.00623903030728
268363.6364	0.0281996855022
276064.1711	0.0252200393814
286331.5508	0.0161356074441
297882.3529	-0.000877839650262
306224.5989	-0.00649635899723
317133.6898	-0.000578758554566
326759.3583	-0.00418274766537
338951.8717	-0.00900209447699
347294.1176	-0.0224534389335
353069.5187	-0.0285816122986
