data2.txt: I12C X	data2.txt: I12C Y
2.057699973	0.00258018157838
4.170874302	0.00888448175138
6.285045177	0.0177765797653
8.188446718	0.0298423559469
10.09334308	0.0436778275852
10.94239968	0.0433277394195
11.79145628	0.0448098280854
12.42924528	0.0434051113523
13.2797967	0.0426288503046
13.91808398	0.04194656226
14.77660776	0.0145667141915
15.20312915	0.0119732329561
15.84141642	0.0146246759527
16.48368988	0.00327759813961
17.12147887	0.00981953883594
17.33922402	-0.00720550105597
18.19226681	-0.00675666783743
18.40901541	-0.0195721552443
18.83454026	-0.0149408061553
19.47631544	-0.0206338251962
20.32736513	-0.00998445818597
20.33184959	-0.0268683855079
20.33583577	-0.0418763092121
21.39865134	-0.0240978269567
22.03942998	-0.0249292537602
23.53026176	-0.011105295373
24.17203694	-0.0164164285536
24.81281557	-0.0184487483227
26.09088493	-0.0111659906578
26.94293117	-0.00787921014695
27.58221499	-0.00727529871129
28.00873638	-0.00858841450447
28.85829126	0.000799457246326
29.49657853	0.00258784545369
30.13586234	-0.000273849141782
31.1971831	0.00868168136875
32.25800558	0.0171266478287
33.31932634	0.0213839790584
34.80517539	0.0237047048383
36.07776375	0.0263541773287
37.13758969	0.0290845629711
38.62144566	0.0297879790202
39.8925392	0.0310875522602
41.37589689	0.0287077319958
42.64898352	0.0187083414593
43.91957879	0.0167627318129
45.8254717	0.011589637705
46.88479936	0.00581629198922
48.1558929	-0.00154791739437
49.84802684	-0.00246150941262
51.96219771	-0.00140790396931
53.86559926	-0.00414810340322
55.98176322	-0.0131203945044
57.67190407	-0.0103516164888
59.996346	-0.00920558669463
62.10952033	-0.00894865732841
64.43495881	-0.0127902648604
66.54614005	-0.00579890483035
68.44854504	-0.00865358425342
71.19502392	-0.00761084811038
73.51896758	-0.00694870161489
78.16536009	-0.000360257101293
81.75690938	7.5492719835e-05
84.29212065	0.000292469307828
87.24986713	0.000478398059331
90.20811188	-0.00128413502626
94.6447316	-0.00115173007703
