X	Yang2017_5uM.txt: 5uM
318.2711198	0.000208949691744
669.76245758	0.000926327842673
1021.25379536	0.00216341412624
1372.74513314	0.00393944057972
1724.23647092	0.00628372033608
2075.7278087	0.00923556842441
2427.21914648	0.0128442464461
2778.71048426	0.0171688728591
3130.20182204	0.0222782301926
3481.69315982	0.0282503885767
3833.1844976	0.0351720526354
4184.67583538	0.0431375278459
4536.16717316	0.052247195552
4887.65851094	0.062605386484
5239.14984872	0.0743175552719
5590.6411865	0.0874866878719
5942.13252428	0.102208924513
6293.62386206	0.118568455485
6645.11519984	0.136631845192
6996.60653762	0.156442055316
7348.0978754	0.178012557972
7699.58921318	0.201322034399
8051.08055096	0.226310219301
8402.57188874	0.252875450135
8754.06322652	0.280874395755
9105.55456429	0.310124265363
9457.04590207	0.34040755159
9808.53723985	0.371479075881
10160.0285776	0.403074829186
10511.5199154	0.434921887938
10863.0112532	0.466748574473
11214.502591	0.498294040647
11565.9939288	0.5293165748
11917.4852665	0.559600134622
12268.9766043	0.588958848434
12620.4679421	0.61723946108
12971.9592799	0.644321893863
13323.4506177	0.670118221285
13674.9419554	0.694570436646
14026.4332932	0.717647391274
14377.924631	0.739341262587
14729.4159688	0.759663850454
15080.9073066	0.778642934105
15432.3986443	0.796318854308
15783.8899821	0.812741424962
16135.3813199	0.827967228419
16486.8726577	0.842057310806
16838.3639955	0.855075266734
17189.8553332	0.867085685429
17541.346671	0.878152920505
17892.8380088	0.888340141382
18244.3293466	0.897708624094
18595.8206843	0.906317241373
18947.3120221	0.914222115604
19298.8033599	0.921476402517
19650.2946977	0.928130178048
20001.7860355	0.934230405074
20353.2773732	0.939820960752
20704.768711	0.944942708713
21056.2600488	0.949633603419
21407.7513866	0.953928816594
21759.2427244	0.957860877794
22110.7340621	0.961459822985
22462.2253999	0.964753346436
22813.7167377	0.967766952392
23165.2080755	0.970524103968
23516.6994133	0.97304636738
23868.190751	0.975353550268
24219.6820888	0.977463833256
24571.1734266	0.979393894295
24922.6647644	0.981159025533
25274.1561022	0.982773242706
25625.6474399	0.984249387142
25977.1387777	0.985599220605
26328.6301155	0.986833513244
26680.1214533	0.987962124988
27031.6127911	0.988994080739
27383.1041288	0.989937639719
27734.5954666	0.990800359358
28086.0868044	0.991589154081
28437.5781422	0.992310349353
28789.06948	0.992969731318
29140.5608177	0.993572592376
29492.0521555	0.994123772987
29843.5434933	0.994627700014
30195.0348311	0.995088421858
30546.5261689	0.99550964066
30898.0175066	0.995894741791
31249.5088444	0.996246820857
31601.0001822	0.996568708427
31952.49152	0.996862992664
32303.9828578	0.997132040034
32655.4741955	0.997378014262
33006.9655333	0.99760289367
33358.4568711	0.997808487042
33709.9482089	0.997996448134
34061.4395467	0.998168288947
34412.9308844	0.998325391865
34764.4222222	0.998469020762
35115.91356	0.998600331149
