X	Kar2011_Fig1C_67uM.txt: 67 uM Q30	Kar2011_Fig1C_86uM.txt: 86 uM Q30	Kar2011_Fig1C_143uM.txt: 143 uM Q30	Kar2011_Fig1C_166uM.txt: 166 uM Q30	Kar2011_Fig1C_177uM.txt: 177 uM Q30
47407.40741	0.000472628929907	0.000994219353746	0.00455401176891	0.00713773073879	0.00866529922808
64287.3176281	0.00087349076011	0.00184337099277	0.00855955580869	0.0135085085613	0.016456921386
81167.2278462	0.00140183759587	0.00297103249904	0.0140437434355	0.0223570562055	0.0273545284101
98047.1380642	0.00206288857037	0.00439530406042	0.021228971168	0.0341370852596	0.0419696794633
114927.048282	0.00286320354222	0.00613903108865	0.03039553278	0.049410856769	0.0610493498213
131806.9585	0.00381072931424	0.00823002664114	0.0418815036262	0.0688351654501	0.0854426162687
148686.868718	0.00491485539633	0.0107013292074	0.0560792571312	0.0931297606447	0.116034122278
165566.778937	0.00618647871233	0.0135914857034	0.0734263467196	0.12302017667	0.153632789265
182446.689155	0.00763807650522	0.016944846396	0.0943880600999	0.159148464242	0.198811495786
199326.599373	0.00928378649705	0.0208118544508	0.119428866973	0.20195105784	0.251710285929
216206.509591	0.011139493102	0.0252493077574	0.148970614201	0.251514432718	0.311841548886
233086.419809	0.0132229181634	0.0303205645789	0.183337124848	0.307435340444	0.377961529481
249966.330027	0.0155537142802	0.0360956574013	0.222688168881	0.36872769586	0.448080002993
266846.240245	0.0181535582935	0.0426512712607	0.266950481965	0.433822374079	0.519650506828
283726.150463	0.0210462419142	0.050070534097	0.315758640615	0.500689289202	0.589917796071
300606.060681	0.0242577557764	0.058442557897	0.368422128099	0.567072787868	0.656328383976
317485.970899	0.0278163623989	0.0678616614457	0.423934219756	0.630786965655	0.716879249409
334365.881117	0.0317526526207	0.0784261997149	0.48103149766	0.689991640884	0.770310641755
351245.791335	0.0360995790648	0.0902369231054	0.538300478212	0.74337853027	0.816119482949
368125.701554	0.0408924590758	0.103394794199	0.594313915263	0.790234942647	0.854435196178
385005.611772	0.0461689384202	0.117998203069	0.647769692016	0.830396378838	0.885829077083
401885.52199	0.0519689058548	0.134139547368	0.69760441577	0.864128101023	0.911121098838
418765.432208	0.0583343475506	0.151901182953	0.74306225253	0.89198157775	0.9312225916
435645.342426	0.0653091293657	0.171350806195	0.78371311223	0.914660942901	0.94702776646
452525.252644	0.0729386942401	0.192536400123	0.819427145071	0.932918170175	0.959350437245
469405.162862	0.0812696616611	0.215480959922	0.850320303642	0.947481663951	0.968895101989
486285.07308	0.090349316415	0.240177301902	0.876687364044	0.959014483417	0.9762506667
503164.983298	0.100224974902	0.266583342744	0.898935861666	0.96809498056	0.981897189762
520044.893516	0.110943219368	0.294618297452	0.917529462831	0.975212436008	0.986218874757
536924.803734	0.122548993734	0.324160267771	0.932944505099	0.980771598723	0.989519064709
553804.713952	0.135084559484	0.355045662119	0.945639923272	0.985101745763	0.992034855019
570684.624171	0.148588316467	0.387070792289	0.95603876193	0.988467412848	0.99395016948
587564.534389	0.163093501521	0.419995830855	0.964518677746	0.99107911388	0.995406880939
604444.444607	0.178626787453	0.453551098164	0.9714088204	0.993103167541	0.996513962284
621324.354825	0.195206815872	0.487445405032	0.976990863328	0.994670254216	0.997354849267
638204.265043	0.212842709025	0.521375942489	0.981502469147	0.995882621509	0.997993271741
655084.175261	0.231532617509	0.555039022748	0.985141969743	0.996820013449	0.998477819805
671964.085479	0.251262371333	0.588140869615	0.98807345192	0.997544470134	0.998845489914
688843.995697	0.272004310048	0.620407651893	0.990431750286	0.998104167019	0.99912442217
705723.905915	0.293716372209	0.65159405047	0.99232706853	0.99853645916	0.999336003777
722603.816133	0.316341523832	0.681489830237	0.99384909662	0.998870279292	0.999496480043
739483.726351	0.339807598714	0.709924118704	0.995070583506	0.999128017643	0.999618185137
756363.636569	0.364027609777	0.736767335157	0.996050379177	0.999326990003	0.999710480587
773243.546787	0.388900570054	0.761930931155	0.996835988856	0.999480581029	0.999780469924
790123.457006	0.414312835325	0.785365268819	0.997465695093	0.999599132707	0.999833542285
807003.367224	0.440139949529	0.807056064573	0.997970306695	0.999690633646	0.999873785583
823883.277442	0.466248941429	0.82701986272	0.998374591193	0.999761253195	0.999904300353
840763.18766	0.492500989587	0.845298985323	0.998698442455	0.999815754905	0.999927438053
857643.097878	0.518754345829	0.86195634778	0.998957828819	0.999857816372	0.99994498192
874523.008096	0.544867387945	0.877070450125	0.999165560739	0.999890276506	0.999958284222
891402.918314	0.570701662556	0.890730767408	0.999331910835	0.999915326622	0.999968370373
908282.828532	0.596124780076	0.903033680052	0.999465113811	0.999934658063	0.999976017918
925162.73875	0.621013035364	0.914079014011	0.999571768932	0.999949576211	0.999981816435
942042.648968	0.645253648525	0.923967204455	0.999657163662	0.999961088526	0.999986212972
958922.559186	0.668746548171	0.932797056156	0.999725533684	0.999969972518	0.999989546496
975802.469404	0.691405651066	0.940664047295	0.99978027165	0.999976828219	0.999992074022
992682.379623	0.713159624432	0.947659108887	0.999824094662	0.99998211869	0.999993990428
1009562.28984	0.733952147186	0.953867806403	0.999859178601	0.99998620128	0.999995443471
1026442.20006	0.75374171177	0.959369851135	0.999887265804	0.999989351757	0.999996545187
1043322.11028	0.772501027443	0.964238873858	0.999909751374	0.999991782933	0.999997380521
1060202.02049	0.790216098267	0.968542400792	0.999927752328	0.999993659033	0.999998013882
1077081.93071	0.806885054664	0.972341980311	0.999942162996	0.999995106788	0.999998494103
1093961.84093	0.822516817148	0.975693417386	0.999953699396	0.999996223996	0.999998858212
1110841.75115	0.83712966573	0.978647080799	0.999962934772	0.999997086126	0.999999134284
1127721.66137	0.850749779963	0.981248255424	0.999970328055	0.999997751417	0.999999343604
1144601.57159	0.863409804035	0.983537518121	0.999976246652	0.99999826481	0.999999502314
1161481.4818	0.875147479776	0.985551121072	0.999980984699	0.999998660985	0.999999622649
1178361.39202	0.886004379154	0.987321370722	0.999984777666	0.999998966707	0.999999713888
1195241.30224	0.896024757279	0.988876993973	0.999987814061	0.999999202627	0.999999783067
1212121.21246	0.905254537754	0.990243486012	0.999990244792	0.999999384682	0.999999835519
1229001.12268	0.913740434561	0.991443436297	0.999992190668	0.999999525171	0.999999875289
1245881.03289	0.921529208642	0.992496830794	0.999993748401	0.999999633583	0.999999905442
1262760.94311	0.928667052848	0.993421329776	0.999994995413	0.999999717243	0.999999928305
1279640.85333	0.935199095824	0.994232521349	0.999995993683	0.999999781802	0.99999994564
1296520.76355	0.941169013496	0.994944151428	0.999996792828	0.99999983162	0.999999958784
1313400.67377	0.946618735845	0.995568331355	0.999997432567	0.999999870065	0.99999996875
1330280.58398	0.95158823646	0.996115724507	0.999997944696	0.999999899731	0.999999976306
1347160.4942	0.956115392691	0.996595713456	0.999998354671	0.999999922624	0.999999982035
1364040.40442	0.960235904936	0.997016549243	0.999998682867	0.999999940291	0.999999986378
1380920.31464	0.963983264557	0.997385484334	0.999998945598	0.999999953923	0.999999989672
1397800.22486	0.967388761017	0.997708890785	0.999999155921	0.999999964444	0.999999992169
1414680.13507	0.970481519941	0.997992365062	0.999999324291	0.999999972562	0.999999994063
1431560.04529	0.97328856494	0.998240820858	0.999999459076	0.999999978826	0.999999995498
1448439.95551	0.975834897105	0.998458571186	0.999999566975	0.999999983661	0.999999996587
1465319.86573	0.978143587043	0.998649400882	0.999999653351	0.999999987391	0.999999997412
1482199.77595	0.980235875225	0.998816630575	0.999999722498	0.99999999027	0.999999998038
1499079.68616	0.98213127721	0.998963173074	0.999999777851	0.999999992492	0.999999998512
1515959.59638	0.983847690954	0.999091583043	0.999999822164	0.999999994206	0.999999998872
1532839.5066	0.985401504062	0.99920410071	0.999999857637	0.999999995529	0.999999999145
1549719.41682	0.986807699268	0.999302690332	0.999999886034	0.99999999655	0.999999999351
1566599.32704	0.988079956899	0.999389073996	0.999999908767	0.999999997337	0.999999999508
1583479.23726	0.989230753392	0.999464761339	0.999999926966	0.999999997945	0.999999999627
1600359.14747	0.99027145523	0.999531075643	0.999999941534	0.999999998414	0.999999999717
1617239.05769	0.991212407879	0.999589176756	0.999999953196	0.999999998776	0.999999999786
1634118.96791	0.992063019488	0.999640081216	0.999999962532	0.999999999056	0.999999999837
1650998.87813	0.992831839282	0.999684679904	0.999999970006	0.999999999271	0.999999999877
1667878.78835	0.993526630638	0.999723753542	0.999999975989	0.999999999438	0.999999999907
1684758.69856	0.994154438978	0.999757986286	0.999999980779	0.999999999566	0.999999999929
1701638.60878	0.994721654615	0.999787977645	0.999999984613	0.999999999665	0.999999999946
1718518.519	0.995234070777	0.999814252939	0.999999987682	0.999999999742	0.999999999959
