Hasecke2018_Fig2C_450mMNaCl_70uM.txt: 70 uM X	Hasecke2018_Fig2C_450mMNaCl_70uM.txt: 70 uM Y
2053.475936	1.4395592477e-06
15529.41176	-0.006787966436
23229.94652	-0.0101119007797
29005.34759	-0.00998946712203
45048.12834	-0.00597753528137
50823.52941	-0.00908959108972
59807.48663	-0.00840566239205
68149.73262	-0.0109439832472
77775.40107	-0.00946259087043
84192.51337	-0.0115498442047
90609.62567	-0.013252807873
100877.0053	-0.0162775504455
109219.2513	-0.0152546205121
116919.7861	-0.0131163134463
127828.877	-0.0191013760859
136171.123	-0.0241904084855
143229.9465	-0.0280034478229
150288.7701	-0.0351368421048
156064.1711	-0.0353557803428
165689.8396	-0.0307345984662
172106.9519	-0.0288937119769
176598.9305	-0.0261367212166
182374.3316	-0.0235558769023
185582.8877	-0.0239282871085
190716.5775	-0.0202049308419
195208.5561	-0.00845818720567
199058.8235	-0.00348794586176
202909.0909	0.00243008683557
208684.492	0.0211223187301
211251.3369	0.0316067649687
217026.738	0.0406575851539
219593.5829	0.0338400111063
222802.139	0.0112899576379
227294.1176	0.0153903861531
232427.8075	0.0264983633212
238844.9198	0.0411474434873
242695.1872	0.0393841352999
245903.7433	0.0323425164474
249754.0107	0.0212953650744
252962.5668	0.00189499321281
256812.8342	-0.00131471233666
261304.8128	-0.00616523943855
266438.5027	-0.00649226617387
270930.4813	-0.0115823159441
277989.3048	-0.0158777108239
283764.7059	-0.0207970881692
286973.262	-0.0282963944622
293390.3743	-0.041717967141
297240.6417	-0.0460563466729
306224.5989	-0.0406809853241
309433.1551	-0.0415878149049
315208.5561	-0.0490427598964
322909.0909	-0.0550569561548
328684.492	-0.0616046176659
335743.3155	-0.0505519361678
343443.8503	-0.0400822768084
349860.9626	-0.0316537210092
